script,writer_id,writer_key,image_path,file_name,is_genuine,sample_index,split
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-01.tif,B-S-1-G-01.tif,1,1,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-02.tif,B-S-1-G-02.tif,1,2,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-03.tif,B-S-1-G-03.tif,1,3,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-04.tif,B-S-1-G-04.tif,1,4,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-05.tif,B-S-1-G-05.tif,1,5,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-06.tif,B-S-1-G-06.tif,1,6,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-01.tif,B-S-1-F-01.tif,0,1,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-02.tif,B-S-1-F-02.tif,0,2,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-03.tif,B-S-1-F-03.tif,0,3,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-04.tif,B-S-1-F-04.tif,0,4,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-05.tif,B-S-1-F-05.tif,0,5,test
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-06.tif,B-S-1-F-06.tif,0,6,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-G-01.tif,H-S-1-G-01.tif,1,1,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-G-02.tif,H-S-1-G-02.tif,1,2,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-G-03.tif,H-S-1-G-03.tif,1,3,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-G-04.tif,H-S-1-G-04.tif,1,4,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-G-05.tif,H-S-1-G-05.tif,1,5,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-G-06.tif,H-S-1-G-06.tif,1,6,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-F-01.tif,H-S-1-F-01.tif,0,1,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-F-02.tif,H-S-1-F-02.tif,0,2,test
hindi,1,hindi_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Hindi/BHSig260-Hindi/1/H-S-1-F-03.tif,H-S-1-F-03.tif,0,3,test
