script,writer_id,writer_key,image_path,file_name,is_genuine,sample_index
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-01.tif,B-S-1-G-01.tif,1,1
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-02.tif,B-S-1-G-02.tif,1,2
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-03.tif,B-S-1-G-03.tif,1,3
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-04.tif,B-S-1-G-04.tif,1,4
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-05.tif,B-S-1-G-05.tif,1,5
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-06.tif,B-S-1-G-06.tif,1,6
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-07.tif,B-S-1-G-07.tif,1,7
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-08.tif,B-S-1-G-08.tif,1,8
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-09.tif,B-S-1-G-09.tif,1,9
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-10.tif,B-S-1-G-10.tif,1,10
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-11.tif,B-S-1-G-11.tif,1,11
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-12.tif,B-S-1-G-12.tif,1,12
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-13.tif,B-S-1-G-13.tif,1,13
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-14.tif,B-S-1-G-14.tif,1,14
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-15.tif,B-S-1-G-15.tif,1,15
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-16.tif,B-S-1-G-16.tif,1,16
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-17.tif,B-S-1-G-17.tif,1,17
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-18.tif,B-S-1-G-18.tif,1,18
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-19.tif,B-S-1-G-19.tif,1,19
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-20.tif,B-S-1-G-20.tif,1,20
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-21.tif,B-S-1-G-21.tif,1,21
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-22.tif,B-S-1-G-22.tif,1,22
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-23.tif,B-S-1-G-23.tif,1,23
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-G-24.tif,B-S-1-G-24.tif,1,24
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-01.tif,B-S-1-F-01.tif,0,1
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-02.tif,B-S-1-F-02.tif,0,2
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-03.tif,B-S-1-F-03.tif,0,3
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-04.tif,B-S-1-F-04.tif,0,4
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-05.tif,B-S-1-F-05.tif,0,5
bengali,1,bengali_001,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/1/B-S-1-F-06.tif,B-S-1-F-06.tif,0,6
